Organization,Website,Facebook,LinkedIn,Twitter,Pinterest,Organization Description,Programs or Key Initiatives,Program description,Possible Data Set,Open or Closed Data Set,Sector,Sector',Sector Level,Name,Headquarters Street Address,Headquarters City,Headquarters State,Headquarters Zip Code,Headquarters County,Headquarters Country,Region Served,Revenue,Revenue,Budget,NAICS Code,NAICS Definition,NTEE Code,NTEE Definition,Tax ID,Primary Dimension,Primary Componenet,Primary Indicator,SPI Dimension 2,SPI Component 2,SPI Indicator 2,SPI Dimension 3,SPI Component 3,SPI Indicator 3,SPI Dimension 4,SPI Component 4,SPI Indicator 4,SPI Dimension 5,SPI Component 5,SPI Indicator 5,SPI Dimension 6,SPI Component 6,SPI Indicator 6,Notes and Opportunities,Budget/Revenue,Latitude,Longitude
Dana-Farber Cancer Institute,http://www.dana-farber.org/,http://www.facebook.com/danafarbercancerinstitute,http://www.linkedin.com/company/dana-farber-cancer-institute,http://twitter.com/danafarber,http://pinterest.com/DFCI/,"Since its founding in 1947, Dana-Farber Cancer Institute in Boston, Massachusetts has been committed to providing adults and children with cancer with the best treatment available today while developing tomorrow's cures through cutting-edge research. Read about our history, our breakthroughs, and the resources that help us support the health of our neighborhoods and communities.",Core,"Since its founding in 1947, Dana-Farber Cancer Institute in Boston, Massachusetts has been committed to providing adults and children with cancer with the best treatment available today while developing tomorrow's cures through cutting-edge research. Read about our history, our breakthroughs, and the resources that help us support the health of our neighborhoods and communities.",,,Social,Social,,,450 Brookline Ave,Boston,Massachusetts,02215-5418,Suffolk,USA,United States,1119142679,,,,#NAME?,H30,Cancer Research,42263040,Foundations of Wellbeing,Health and Wellness,Premature deaths from non-communicable diseases,,,,,,,,,,,,,,,,,1119142679,42.33749,-71.10814
Boston Architectural College,http://the-bac.edu/,http://www.facebook.com/bacadmissions,https://www.linkedin.com/edu/school?id=18456&trk=tyah&trkInfo=clickedVertical%3Aschool%2Cidx%3A2-1-4%2CtarId%3A1432842710046%2Ctas%3Aboston%20archite,http://www.twitter.com/thebacboston,http://www.pinterest.com/thebacboston,"The Boston Architectural College (BAC) is an independent, professional college in Boston's Back Bay that provides an exceptional design education by combining academic learning with innovative experiential learning and by making its programs accessible to diverse communities.",Core,"The Boston Architectural College (BAC) is an independent, professional college in Boston's Back Bay that provides an exceptional design education by combining academic learning with innovative experiential learning and by making its programs accessible to diverse communities.",,,Social,Social,,,320 Newbury St,Boston,Massachusetts,02115-2703,Suffolk,USA,Greater Boston,17866157,,,,#NAME?,#N/A,#N/A,42271070,Opportunity,Access to Advanced Education,Years of tertiary schooling,,,,,,,,,,,,,,,,,17866157,42.34846,-71.08574
New England Aquarium Corporation,http://www.neaq.org/,https://www.facebook.com/NewEnglandAquarium,,https://twitter.com/NEAQ,,"The New England Aquarium is a global leader in ocean exploration and marine conservation. With more than 1.3 million visitors a year, the Aquarium is one of the premier visitor attractions in Boston and a major public education resource for the region.",Core,"The New England Aquarium is a global leader in ocean exploration and marine conservation. With more than 1.3 million visitors a year, the Aquarium is one of the premier visitor attractions in Boston and a major public education resource for the region.",,,Social,Social,,,Central Wharf,Boston,Massachusetts,02110-0000,Suffolk,USA,Northeast,41538810,,,,#NAME?,D50,Zoos & Aquariums,42297514,TBD,TBD,TBD,,,,,,,,,,,,,,,,,41538810,42.35914,-71.04967
New England Aquarium Corporation,http://www.neaq.org/,https://www.facebook.com/NewEnglandAquarium,,https://twitter.com/NEAQ,,"The New England Aquarium is a global leader in ocean exploration and marine conservation. With more than 1.3 million visitors a year, the Aquarium is one of the premier visitor attractions in Boston and a major public education resource for the region.",Anderson Cabot Center for Ocean Life,The Anderson Cabot Center for Ocean Life at the New England Aquarium is a groundbreaking initiative designed to expand the AquariumÍs cutting-edge applied marine research and data-driven conservation solutions.,,,Social,Social,,,Central Wharf,Boston,Massachusetts,02110-0000,Suffolk,USA,Northeast,,,,,,D50,Zoos & Aquariums,42297514,TBD,TBD,TBD,,,,,,,,,,,,,,,,,,42.35914,-71.04967
Berklee College Of Music Inc,https://www.berklee.edu/,http://www.facebook.com/BerkleeCollege,,http://www.twitter.com/BerkleeCollege,http://www.pinterest.com/berkleecollege,"For more than half a century, the college has evolved to reflect the state of the art of music and the music business, leading the way with the worldÍs first baccalaureate studies in jazz, rock, electric guitar, film scoring, songwriting, turntables, electronic production, and more than a dozen other genres and fields of study.æ",Core,"For more than half a century, the college has evolved to reflect the state of the art of music and the music business, leading the way with the worldÍs first baccalaureate studies in jazz, rock, electric guitar, film scoring, songwriting, turntables, electronic production, and more than a dozen other genres and fields of study.æ",,,Social,Social,,,1140 Boylston St,Boston,Massachusetts,02215-3693,Suffolk,USA,Massachusetts,259550477,,,,#NAME?,B42,Undergraduate Colleges,42300472,Opportunity,Access to Advanced Education,Years of tertiary schooling,,,,,,,,,,,,,,,,,259550477,42.34661,-71.08943
Action For Boston Community Development,https://www.bostonabcd.org/,https://www.facebook.com/BostonAbcd,https://www.linkedin.com/company/action-for-boston-community-development,https://www.twitter.com/bostonabcd,,"Since it's founding in 1961, ABCD has strived to be the voice and catalyst of empowerment and opportunity, providing hands-on assistance to those in need and responding promptly to emerging issues. Today, our capacity to bring about positive change impacts more than 85,000 low-income Boston-area families every year. ABCD seeks to be constantly innovative and entrepreneurial, while developing new programs to meet changing needs.",Core,"Since it's founding in 1961, ABCD has strived to be the voice and catalyst of empowerment and opportunity, providing hands-on assistance to those in need and responding promptly to emerging issues. Today, our capacity to bring about positive change impacts more than 85,000 low-income Boston-area families every year. ABCD seeks to be constantly innovative and entrepreneurial, while developing new programs to meet changing needs.",,,Social,Social,,,178 Tremont St,Boston,Massachusetts,02111-1006,Suffolk,USA,Greater Boston,157216004,,,,#NAME?,P20,Human Services,42304133,Opportunity,Tolerance and Inclusion,Community safety net,,,,,,,,,,,,,,,,,157216004,42.35289,-71.06410
Action For Boston Community Development,https://www.bostonabcd.org/,https://www.facebook.com/BostonAbcd,https://www.linkedin.com/company/action-for-boston-community-development,https://www.twitter.com/bostonabcd,,"Since it's founding in 1961, ABCD has strived to be the voice and catalyst of empowerment and opportunity, providing hands-on assistance to those in need and responding promptly to emerging issues. Today, our capacity to bring about positive change impacts more than 85,000 low-income Boston-area families every year. ABCD seeks to be constantly innovative and entrepreneurial, while developing new programs to meet changing needs.",Child Care Choices of Boston (CCCB),"ABCD'sæChild Care Choices of Boston (CCCB) is the Child Care Resource and Referral Agency for Boston, Brookline, Cambridge, Chelsea, Revere, Somerville and Winthrop.",,,Social,Social,,,178 Tremont St,Boston,Massachusetts,02111-1006,Suffolk,USA,Greater Boston,,,,,,P20,Human Services,42304133,Foundations of Wellbeing,Access to Basic Knowledge,Primary school enrollment,,,,,,,,,,,,,,,,,,42.35289,-71.06410
Action For Boston Community Development,https://www.bostonabcd.org/,https://www.facebook.com/BostonAbcd,https://www.linkedin.com/company/action-for-boston-community-development,https://www.twitter.com/bostonabcd,,"Since it's founding in 1961, ABCD has strived to be the voice and catalyst of empowerment and opportunity, providing hands-on assistance to those in need and responding promptly to emerging issues. Today, our capacity to bring about positive change impacts more than 85,000 low-income Boston-area families every year. ABCD seeks to be constantly innovative and entrepreneurial, while developing new programs to meet changing needs.",Food Dollars,Food Dollars is a pilot program funded through AARP that uniquely joinsæfinancial literacy and a healthy eating curriculum to provide the skills and knowledge to elders to ensure that food security does not conflict with financial security and the importance of nutrition.,,,Social,Social,,,178 Tremont St,Boston,Massachusetts,02111-1006,Suffolk,USA,Greater Boston,,,,,,P20,Human Services,42304133,Basic Human Needs,Nutrition and Basic Medical Care,Undernourishment,,,,,,,,,,,,,,,,,,42.35289,-71.06410
Action For Boston Community Development,https://www.bostonabcd.org/,https://www.facebook.com/BostonAbcd,https://www.linkedin.com/company/action-for-boston-community-development,https://www.twitter.com/bostonabcd,,"Since it's founding in 1961, ABCD has strived to be the voice and catalyst of empowerment and opportunity, providing hands-on assistance to those in need and responding promptly to emerging issues. Today, our capacity to bring about positive change impacts more than 85,000 low-income Boston-area families every year. ABCD seeks to be constantly innovative and entrepreneurial, while developing new programs to meet changing needs.",Foster Grandparents,"The Foster Grandparents program matches low-income senior volunteers age 55 and above with children in schools, daycare centers, hospitals, and Head Start sites for 20 hours each week.æ Grandparents spend this time offering mentorship, guidance, and simple companionship to young people.",,,Social,Social,,,178 Tremont St,Boston,Massachusetts,02111-1006,Suffolk,USA,Greater Boston,,,,,,P20,Human Services,42304133,Opportunity,Tolerance and Inclusion,Community safety net,,,,,,,,,,,,,,,,,,42.35289,-71.06410
Action For Boston Community Development,https://www.bostonabcd.org/,https://www.facebook.com/BostonAbcd,https://www.linkedin.com/company/action-for-boston-community-development,https://www.twitter.com/bostonabcd,,"Since it's founding in 1961, ABCD has strived to be the voice and catalyst of empowerment and opportunity, providing hands-on assistance to those in need and responding promptly to emerging issues. Today, our capacity to bring about positive change impacts more than 85,000 low-income Boston-area families every year. ABCD seeks to be constantly innovative and entrepreneurial, while developing new programs to meet changing needs.",Low-Income Home Energy Assistance Program (LIHEAP),"ABCDÍs Low-Income Home Energy Assistance Program (LIHEAP), the Fuel Assistance program, provides heating bill payment assistance to low-income residents ofvarious cities and towns. This critical service keeps thousands of families warm each winter and staff are available to assist clients in the application process.",,,Social,Social,,,178 Tremont St,Boston,Massachusetts,02111-1006,Suffolk,USA,Greater Boston,,,,,,P20,Human Services,42304133,Basic Human Needs,Shelter,Housing support,,,,,,,,,,,,,,,,,,42.35289,-71.06410
Action For Boston Community Development,https://www.bostonabcd.org/,https://www.facebook.com/BostonAbcd,https://www.linkedin.com/company/action-for-boston-community-development,https://www.twitter.com/bostonabcd,,"Since it's founding in 1961, ABCD has strived to be the voice and catalyst of empowerment and opportunity, providing hands-on assistance to those in need and responding promptly to emerging issues. Today, our capacity to bring about positive change impacts more than 85,000 low-income Boston-area families every year. ABCD seeks to be constantly innovative and entrepreneurial, while developing new programs to meet changing needs.",Weatherization Assistance Program (WAP),ABCDÍs Weatherization Assistance Program (WAP) helps make low-income households more energy efficient in order to lower energy costs for consumers and protect the environment. Weatherizing your home can reduce your heating costs by as much as 25% per year.,,,Social,Social,,,178 Tremont St,Boston,Massachusetts,02111-1006,Suffolk,USA,Greater Boston,,,,,,P20,Human Services,42304133,Basic Human Needs,Shelter,Housing support,,,,,,,,,,,,,,,,,,42.35289,-71.06410
